,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
104,2531 S Galloway St,Philadelphia,PA,19148,240000,1216,916,1,[''],3,[],[],['Ceiling Fan(s)'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2112,Multi family,1916,05/17/2020,['South Philadelphia'],['0'],53.0
105,120315 N 3rd St Unit 104,Philadelphia,PA,19122,395000,1481,[],2,[''],2,[],[],[],[],[],[],[],[],[],[],2003,[],[],[],
106,4070 Manayunk Ave,Philadelphia,PA,19128,525000,2734,1678,3,1,4,[],11,['Central A/C'],[],"['Elementary School: COOK', 'Elementary School: COOK']","['Middle School: COOK', 'Middle School: COOK']","['High School: ROXBOROUGH ', 'High School: ROXBOROUGH']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,923,Multi family,2014,05/15/2020,['Roxborough'],['0'],53.0
107,1534 N Natrona St,Philadelphia,PA,19121,335000,1246,990,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1238,Multi family,1925,05/16/2020,['Lower North'],['0'],53.0
108,4939 Florence Ave,Philadelphia,PA,19143,360000,1800,1124,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: HARRINGTON AVERY ', 'Elementary School: HARRINGTON AVERY']","['Middle School: HAMILTON A ', 'Middle School: HAMILTON A']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2340,Multi family,1925,05/15/2020,['West Philadelphia'],['0'],53.0
109,3 Biggans Pl,Philadelphia,PA,19154,247000,1104,6600,2,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2989,Single family,1971,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
110,1412 E Weaver St,Philadelphia,PA,19150,233000,1200,1319,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: EDMONDS FRANKLIN ', 'Elementary School: EDMONDS FRANKLIN']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,966,Multi family,1950,05/15/2020,['West Oak Lane'],['0'],53.0
111,570 Monastery Ave,Philadelphia,PA,19128,256000,1184,1766,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2892,Multi family,1950,05/15/2020,['Roxborough'],['0'],53.0
112,4030 Tudor St,Philadelphia,PA,19136,169900,1188,1176,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1572,Multi family,1950,05/15/2020,['North Delaware'],['0'],53.0
113,1340 Marlborough St,Philadelphia,PA,19125,470000,1531,1599,2,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5829,Multi family,1915,05/15/2020,['River Wards'],['0'],53.0
114,6160 Sansom St,Philadelphia,PA,19139,205000,1130,1618,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: BRYANT WILLIAM ', 'Elementary School: BRYANT WILLIAM']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,886,Multi family,1925,05/15/2020,['Cobbs Creek'],['0'],53.0
115,2214 Graham St,Philadelphia,PA,19131,165000,1638,[],2,1,3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/15/2020,['West Philadelphia'],[],
116,229 Lyceum Ave,Philadelphia,PA,19128,147500,1392,978,1,[''],2,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3060,Multi family,1900,05/15/2020,['Lower Northwest'],['0'],53.0
117,580 Monastery Ave,Philadelphia,PA,19128,200000,1184,1766,1,[''],3,[],[],['Window Unit(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2843,Multi family,1950,05/15/2020,['Roxborough'],['0'],53.0
118,1101 Washington Ave Unit 106,Philadelphia,PA,19147,295000,1607,[],2,[''],2,[],[],[],[],[],[],[],[],[],Condo,1900,05/17/2020,[],[],
119,2657 S 69th St,Philadelphia,PA,19142,175000,1072,1328,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1064,Multi family,1925,05/15/2020,['Southwest Philadelphia'],['0'],53.0
120,729 S 12th St Apt 101,Philadelphia,PA,19147,255000,697,[],1,[''],1,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,725,Condo,1900,05/16/2020,['Center City'],['275'],53.0
121,3938 M St,Philadelphia,PA,19124,152000,1260,1275,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1291,Multi family,1925,05/16/2020,['Kensington'],['0'],53.0
122,240 S 13th St Apt F,Philadelphia,PA,19107,200000,514,[],1,[''],1,[],[],[],[],[],[],[],[],[],Condo,1900,05/17/2020,['Center City'],[],
123,7000 Woolston Ave,Philadelphia,PA,19138,179900,1600,1532,1,1,3,[],[],[],['Hot Water'],[],[],"['High School: CENTRAL ', 'High School: CENTRAL']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2567,Single family,1921,05/15/2020,['West Oak Lane'],['0'],53.0
124,7719 Dungan Rd,Philadelphia,PA,19111,192500,1040,3516,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2842,Single family,1960,05/15/2020,['Burholme'],['0'],53.0
125,805 Red Lion Rd Apt A3,Philadelphia,PA,19115,190000,1035,[],2,[''],2,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: WILLIAM H', 'Elementary School: WILLIAM H']","['Middle School: BALDI ', 'Middle School: BALDI']","['High School: GEORGE WASHINGTON ', 'High School: GEORGE WASHINGTON']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1645,Condo,1976,05/17/2020,[],['320'],53.0
126,6135 Gillespie St,Philadelphia,PA,19135,140000,1050,1984,1,[''],3,[],[],[],['Steam'],"['Elementary School: HENRY W', 'Elementary School: HENRY W']","['Middle School: HENRY W', 'Middle School: HENRY W']","['High School: FRANKFORD ', 'High School: FRANKFORD']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1620,Single family,1940,05/15/2020,['North Delaware'],['0'],53.0
127,8213 Winthrop St,Philadelphia,PA,19136,265000,1722,3787,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: ROBERT B', 'Elementary School: ROBERT B']","['Middle School: AUSTIN MEEHAN ', 'Middle School: AUSTIN MEEHAN']","['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3396,Single family,1957,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
128,5221 W Clarkson Ave,Philadelphia,PA,19144,124900,1026,1381,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,792,Multi family,1925,05/15/2020,['Upper Northwest'],['0'],53.0
129,1007 Sanibel St,Philadelphia,PA,19116,216000,1412,5999,2,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3192,Single family,1960,05/16/2020,['Somerton'],['0'],53.0
130,1813 Dickinson St,Philadelphia,PA,19146,205000,1200,1039,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1705,Multi family,1925,05/16/2020,['South Philadelphia'],['0'],53.0
131,1533 N Robinson St,Philadelphia,PA,19151,75000,1470,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/16/2020,['West Philadelphia'],[],
132,3353 N Mascher St,Philadelphia,PA,19140,65000,1008,700,1,[''],3,[],[],['Window Unit(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,532,Multi family,1920,05/15/2020,['Kensington'],['0'],53.0
133,1917 72nd Ave,Philadelphia,PA,19138,133000,1230,1050,[],[],0,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1659,Multi family,1920,05/15/2020,['West Oak Lane'],[],53.0
134,9321 Glenloch St,Philadelphia,PA,19114,210000,3000,2999,3,[''],5,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3073,Single family,1955,05/16/2020,['Torresdale'],['0'],53.0
135,4926 Charles St,Philadelphia,PA,19124,60000,1080,1757,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,703,Multi family,1940,05/16/2020,['Kensington'],['0'],53.0
136,1910 W Somerset St,Philadelphia,PA,19132,40000,1188,1046,1,[''],3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,505,Multi family,1929,05/15/2020,['Upper North Philadelphia'],['0'],53.0
137,27002 Ash St,Philadelphia,PA,19137,450000,6400,2999,[],[],0,[],[],['Window Unit(s)'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3318,[],1925,[],[],[],53.0
138,7703 Chelwynde Ave,Philadelphia,PA,19153,87000,1014,1405,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1503,Single family,1925,05/15/2020,['Clearview'],['0'],53.0
139,3625 Canby Dr,Philadelphia,PA,19154,175000,1332,6250,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2660,Multi family,1955,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
140,1738 N Gratz St,Philadelphia,PA,19121,115000,1530,1106,[],[],0,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],Multi family,1915,05/15/2020,['Lower North'],['0'],53.0
141,2555 Tulip St,Philadelphia,PA,19125,135000,[],756,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,336,Land,[],05/16/2020,['River Wards'],['0'],53.0
142,243133 N 7th St,Philadelphia,PA,19133,135000,[],4000,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,759,[],[],[],[],['0'],53.0
143,2557 Tulip St,Philadelphia,PA,19125,125000,[],756,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,336,Land,[],05/16/2020,['River Wards'],['0'],53.0
144,2220 N Franklin St,Philadelphia,PA,19133,71000,[],[],[],[],[],[],[],[],[],[],[],[],[],[],Land,[],05/16/2020,['Lower North'],[],
145,3810 Charteris Rd,Philadelphia,PA,19154,270000,1656,[],2,1,3,[],[],[],[],[],[],[],[],[],Single family,1973,05/16/2020,['Far Northeast Philadelphia'],[],
146,7422 Keiffer St,Philadelphia,PA,19128,433500,3400,5460,2,[''],3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,449,Land,2020,05/15/2020,['Upper Roxborough'],['0'],53.0
147,1941 N 4th St Unit 2,Philadelphia,PA,19122,300000,[],[],2,1,3,[],[],[],[],[],[],[],[],[],[],2020,[],['Lower North'],[],
148,5618 N 18th St,Philadelphia,PA,19141,205000,1306,1583,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1408,Multi family,1950,05/15/2020,['Ogontz'],['0'],53.0
149,2843 Brighton Pl,Philadelphia,PA,19149,288000,1920,2436,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3038,Multi family,1979,05/15/2020,[],[],53.0
150,6640 N Smedley St,Philadelphia,PA,19126,70000,1262,1263,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1566,Multi family,1925,05/15/2020,['West Oak Lane'],['0'],53.0
151,6301 Sherman St,Philadelphia,PA,19144,300000,1592,2040,1,1,3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2235,Single family,1925,05/16/2020,['Upper Northwest'],['0'],53.0
152,531 Gates St,Philadelphia,PA,19128,635900,3964,[],2,2,4,[],11,[],[],[],[],[],[],[],[],1950,[],['Roxborough'],[],
153,528 Spruce St,Philadelphia,PA,19106,1680000,3843,1986,4,1,4,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: MC CALL GEN GEORGE ', 'Elementary School: MC CALL GEN GEORGE']","['Middle School: MC CALL GEN GEORGE ', 'Middle School: MC CALL GEN GEORGE']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,23232,Multi family,1850,05/15/2020,['Center City'],['0'],53.0
154,10217 Kilburn Rd,Philadelphia,PA,19114,285000,1518,1805,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3021,Multi family,1965,05/16/2020,['Morrell Park'],['0'],53.0
155,218 Monroe St,Philadelphia,PA,19147,463500,1320,508,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: MEREDITH WILLIAM ', 'Elementary School: MEREDITH WILLIAM']","['Middle School: MEREDITH WILLIAM ', 'Middle School: MEREDITH WILLIAM']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5293,Multi family,1920,05/15/2020,['Queen Village'],['0'],53.0
156,5707-5709 Tulip St,Philadelphia,PA,19135,205000,1725,2499,3,[''],5,[],[],['Window Unit(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2156,[],1935,[],['North Delaware'],['0'],53.0
157,3428 Bleigh Ave,Philadelphia,PA,19136,230000,2032,1660,2,[''],3,[],[],['Window Unit(s)'],['Radiator'],[],[],"['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2311,Multi family,1961,05/16/2020,['North Delaware'],['0'],53.0
158,3426 Hess St,Philadelphia,PA,19136,189900,1144,1189,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],"['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1890,Multi family,1978,05/16/2020,['North Delaware'],['0'],53.0
159,8909 Crefeld St,Philadelphia,PA,19118,1850000,6256,47916,6,1,7,[],11,['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,24544,Single family,1928,05/15/2020,['Chestnut Hill'],['0'],53.0
160,5415 Vicaris St,Philadelphia,PA,19128,195000,1132,1616,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2767,Multi family,1965,05/15/2020,['Wissahickon'],['0'],53.0
161,233 S 6th St Apt 906,Philadelphia,PA,19106,450000,1205,[],1,1,1,[],11,['Wall Unit Cooling'],['Wall Unit Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5545,Condo,1985,05/17/2020,['Center City'],['745'],53.0
162,5417 Vicaris St,Philadelphia,PA,19128,259000,1432,1616,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3120,Multi family,1965,05/15/2020,['Wissahickon'],['0'],53.0
163,1309 S 11th St,Philadelphia,PA,19147,379000,1188,974,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4302,Multi family,1931,05/15/2020,['South Philadelphia'],['0'],53.0
164,145 E Pomona St,Philadelphia,PA,19144,100000,1576,2160,1,1,5,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1641,Single family,1915,05/16/2020,['Upper Northwest'],['0'],53.0
165,8081 Fayette St,Philadelphia,PA,19150,169900,1182,1611,1,1,3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1760,Multi family,1946,05/15/2020,['Cedarbrook'],['0'],53.0
166,7506 Briar Rd,Philadelphia,PA,19138,96000,1606,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1929,05/15/2020,['West Oak Lane'],[],
167,1022 W Oregon Ave,Philadelphia,PA,19148,225000,1256,1053,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1806,Multi family,1935,05/17/2020,['South Philadelphia'],['0'],53.0
168,1919 Chestnut St Apt 514,Philadelphia,PA,19103,330900,832,[],1,[''],1,[],[],[],[],[],[],[],[],[],[],1965,[],['Center City West'],[],
169,6117 Magnolia St,Philadelphia,PA,19144,200000,1280,1922,1,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1221,Multi family,1905,05/16/2020,['Upper Northwest'],['0'],53.0
170,6661 Musgrave St,Philadelphia,PA,19119,152000,1144,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1997,05/16/2020,['Upper Northwest'],[],
171,1510 Van Kirk St,Philadelphia,PA,19149,162000,1152,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1950,05/16/2020,['North Delaware'],[],
172,3428 Tilton St,Philadelphia,PA,19134,257500,1120,613,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1705,Multi family,1920,05/15/2020,['Richmond'],['0'],53.0
173,45 E Herman St,Philadelphia,PA,19144,95036,1320,2086,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1337,Single family,1910,05/16/2020,['Upper Northwest'],['0'],53.0
174,5717 Ogontz Ave,Philadelphia,PA,19141,230000,1436,2368,3,[''],4,[],[],['Central A/C'],['Hot Water'],"['Elementary School: PENNELL JOSEPH ', 'Elementary School: PENNELL JOSEPH']",[],"['High School: KING MARTIN LUTHER ', 'High School: KING MARTIN LUTHER']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1443,Multi family,1925,05/15/2020,['Ogontz'],['0'],53.0
175,1900 Hamilton St Unit 301,Philadelphia,PA,19130,410000,1194,[],1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5962,Condo,2007,05/17/2020,['Center City'],['580'],53.0
176,7815 Woolston Ave,Philadelphia,PA,19150,208000,1152,1599,1,1,3,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1823,Multi family,1950,05/15/2020,['West Oak Lane'],['0'],53.0
177,724 S Randolph St,Philadelphia,PA,19147,370000,927,687,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5608,Multi family,1920,05/15/2020,['Queen Village'],['0'],53.0
178,6310 Sherman St,Philadelphia,PA,19144,195000,1592,2341,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2273,Single family,1925,05/16/2020,['Upper Northwest'],['0'],53.0
179,1747 S Chadwick St,Philadelphia,PA,19145,287000,1200,742,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3060,Multi family,1923,05/16/2020,['South Philadelphia'],['0'],53.0
180,2427 S Reese St,Philadelphia,PA,19148,167450,936,643,1,[''],2,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1901,Multi family,1920,05/17/2020,['South Philadelphia'],['0'],53.0
181,7713 Delphi Pl,Philadelphia,PA,19153,144375,1360,2946,1,[''],3,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1995,Multi family,1965,05/15/2020,['Clearview'],['0'],53.0
182,1249 N 2nd St Apt 4,Philadelphia,PA,19122,490000,1731,[],2,1,2,[],[],[],[],[],[],[],[],[],[],2019,[],['Lower North'],[],
183,8429 Lynnewood Rd,Philadelphia,PA,19150,170000,1402,4055,1,1,3,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2773,Single family,1950,05/15/2020,['Cedarbrook'],['0'],53.0
184,1244 N Dover St,Philadelphia,PA,19121,445000,2100,707,3,[''],4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,74,Land,2020,05/16/2020,['Lower North'],['0'],53.0
185,2933 Cecil B Moore Ave,Philadelphia,PA,19121,175000,1841,1124,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,63,Multi family,1915,05/16/2020,['Lower North'],['0'],53.0
186,2922 S Sydenham St,Philadelphia,PA,19145,305000,1076,735,1,2,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3688,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
187,209 N 23rd St Unit 209,Philadelphia,PA,19103,675000,2078,[],2,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6165,[],1980,[],['Center City'],['250'],53.0
188,7702 Lawnton St,Philadelphia,PA,19128,360000,1976,[],1,1,3,[],[],[],[],[],[],[],[],[],Single family,1964,05/15/2020,['Upper Roxborough'],[],
189,5138 N Carlisle St,Philadelphia,PA,19141,89000,1504,1616,1,[''],3,[],[],['Window Unit(s)'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1387,Single family,1905,05/15/2020,['Logan'],['0'],53.0
190,1814 Catharine St,Philadelphia,PA,19146,805000,2200,863,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3394,Multi family,1915,05/16/2020,['Center City'],['0'],53.0
191,2314 E Thompson St,Philadelphia,PA,19125,535000,2520,839,2,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2332,Multi family,1875,05/16/2020,['River Wards'],['0'],53.0
192,4315 Waln St,Philadelphia,PA,19124,110000,1288,1242,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1019,Multi family,1930,05/16/2020,['Kensington'],['0'],53.0
193,1312 E Hewson St,Philadelphia,PA,19125,492650,2040,1143,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: ADAIRE ', 'Elementary School: ADAIRE']",[],"['High School: PENN TREATY ', 'High School: PENN TREATY']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5811,Single family,1925,05/15/2020,['River Wards'],['0'],53.0
194,601 N 44th St,Philadelphia,PA,19104,239900,1533,2396,2,[''],4,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2346,Multi family,2006,05/15/2020,['West Philadelphia'],['35'],53.0
195,3540 Sussex Ln,Philadelphia,PA,19114,258000,1260,1710,1,1,3,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2732,Multi family,1961,05/16/2020,['Morrell Park'],['0'],53.0
196,2412 N 4th St,Philadelphia,PA,19133,169900,1554,650,[],[],0,[],[],['Ceiling Fan(s)'],['Hot Water '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,678,Multi family,1920,05/15/2020,['Lower North'],[],53.0
197,9225 Cottage St,Philadelphia,PA,19114,250000,918,[],1,[''],3,[],[],[],[],[],[],[],[],[],Single family,1968,05/16/2020,['Torresdale'],[],
198,308 Righter St,Philadelphia,PA,19128,279900,1496,1442,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2872,Multi family,1910,05/15/2020,['Wissahickon'],['0'],53.0
199,906 Loney St,Philadelphia,PA,19111,340000,2280,5624,2,1,4,[],[],['Ceiling Fan(s)'],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3695,Single family,1953,05/16/2020,['Near Northeast Philadelphia'],['0'],53.0
200,1326 S 10th St,Philadelphia,PA,19147,560000,3150,960,2,1,3,[],[],['Central A/C'],['Hot Water'],"['Elementary School: ANDREW JACKSON ', 'Elementary School: ANDREW JACKSON']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4687,Multi family,1920,05/15/2020,['South Philadelphia'],['0'],53.0
201,740 S Columbus Blvd Unit 37,Philadelphia,PA,19147,670000,2880,860,3,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3169,Multi family,2015,05/15/2020,['Queen Village'],['248'],53.0
202,1433 N Orkney St,Philadelphia,PA,19122,459000,2500,756,2,2,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,491,Land,2019,05/15/2020,['Lower North'],['0'],53.0
203,1528 S 24th St,Philadelphia,PA,19146,272900,1434,930,1,1,3,[],[],['Central A/C'],['Central Heating'],"['Elementary School: DELAPLAINE MCDANIEL ', 'Elementary School: DELAPLAINE MCDANIEL']","['Middle School: DELAPLAINE MCDANIEL SCHOOL ', 'Middle School: DELAPLAINE MCDANIEL SCHOOL']","['High School: SOUTH PHILADELPHIA ', 'High School: SOUTH PHILADELPHIA']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1293,Multi family,1925,05/16/2020,['South Philadelphia'],['0'],53.0
204,29 W Wildey St Apt 2,Philadelphia,PA,19123,561000,2700,[],3,[''],4,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],[],[],[],['Center City'],['75'],53.0
205,4940 Pine St,Philadelphia,PA,19143,290000,1845,[],1,2,4,[],[],[],[],[],[],[],[],[],Multi family,1925,05/16/2020,['West Philadelphia'],[],
206,1541 Ridge Ave Apt 1,Philadelphia,PA,19130,439900,1592,[],3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,905,Condo,2017,05/17/2020,['Center City'],['206'],53.0
207,1320 S 7th St,Philadelphia,PA,19147,462000,[],721,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,176,Land,2020,05/15/2020,['South Philadelphia'],['0'],53.0
208,2619 S Mole St,Philadelphia,PA,19145,258500,1026,665,1,[''],3,[],[],['Window Unit(s)'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2514,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
